Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,0,World,WLD,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,,,25226279529,,,4
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,4,Afghanistan,AFG,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,1475,,,0
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,8,Albania,ALB,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,37139568,,,0
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,12,Algeria,DZA,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,1834154,,,0
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,20,Andorra,AND,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,466475,,,0
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,24,Angola,AGO,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,243849,,,0
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,28,Antigua and Barbuda,ATG,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,4151,,,0
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,31,Azerbaijan,AZE,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,34976688,,,0
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,32,Argentina,ARG,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,22199243,,,4
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,36,Australia,AUS,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,63475543,,,4
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,44,Bahamas,BHS,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,97465,,,0
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,48,Bahrain,BHR,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,450749065,,,4
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,50,Bangladesh,BGD,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,339982,,,0
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,51,Armenia,ARM,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,67722115,,,0
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,52,Barbados,BRB,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,1290,,,0
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,60,Bermuda,BMU,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,15,,,0
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,68,Bolivia (Plurinational State of),BOL,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,242668,,,0
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,70,Bosnia Herzegovina,BIH,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,279165237,,,4
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,76,Brazil,BRA,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,16297242,,,4
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,84,Belize,BLZ,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,1521,,,0
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,90,Solomon Isds,SLB,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,1667,,,4
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,92,Br. Virgin Isds,VGB,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,4981,,,4
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,96,Brunei Darussalam,BRN,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,8713,,,0
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,104,Myanmar,MMR,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,2675,,,4
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,112,Belarus,BLR,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,41319243,,,4
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,116,Cambodia,KHM,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,100757,,,4
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,120,Cameroon,CMR,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,89565124,,,0
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,124,Canada,CAN,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,307771123,,,4
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,132,Cabo Verde,CPV,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,436103,,,0
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,136,Cayman Isds,CYM,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,3548,,,0
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,144,Sri Lanka,LKA,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,2831255,,,0
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,152,Chile,CHL,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,3305282,,,4
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,156,China,CHN,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,4246847154,,,4
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,162,Christmas Isds,CXR,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,105721,,,0
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,166,Cocos Isds,CCK,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,134,,,0
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,170,Colombia,COL,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,3621794,,,4
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,178,Congo,COG,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,247112,,,0
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,180,Dem. Rep. of the Congo,COD,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,147985,,,0
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,188,Costa Rica,CRI,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,529238,,,4
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,192,Cuba,CUB,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,8299950,,,4
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,204,Benin,BEN,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,4807,,,0
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,212,Dominica,DMA,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,20971,,,0
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,214,Dominican Rep.,DOM,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,360568,,,4
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,218,Ecuador,ECU,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,,,435518,,,4
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,222,El Salvador,SLV,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,86370,,,0
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,226,Equatorial Guinea,GNQ,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,1888732,,,0
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,231,Ethiopia,ETH,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,382404,,,0
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,234,Faeroe Isds,FRO,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,110842,,,0
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,238,Falkland Isds (Malvinas),FLK,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,2353,,,4
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,258,French Polynesia,PYF,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,11161,,,0
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,262,Djibouti,DJI,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,10772,,,0
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,266,Gabon,GAB,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,7492,,,4
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,268,Georgia,GEO,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,3318942,,,4
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,270,Gambia,GMB,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,481,,,0
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,275,State of Palestine,PSE,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,104127,,,0
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,288,Ghana,GHA,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,95498595,,,4
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,292,Gibraltar,GIB,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,97814,,,0
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,304,Greenland,GRL,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,107,,,0
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,320,Guatemala,GTM,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,45795,,,0
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,324,Guinea,GIN,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,436793,,,0
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,328,Guyana,GUY,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,124418,,,0
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,332,Haiti,HTI,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,2516,,,0
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,334,Heard Island and McDonald Islands,HMD,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,683,,,0
